102;60.04512:11018 93.07024:11318 154.12283:1980395 172.97731:8199 190.98788:5637 214.14401:78624
104;66.82277:1972 72.93797:2860 81.07051:39692 93.07027:5112 133.10123:5148 153.50929:2095 197.15393:18145 214.1806:23734
108;57.07066:4211 79.0548:4453 90.91969:2019 95.04955:5206 105.03384:8283 143.08598:3001 155.0706:7040 179.10689:4374 183.02261:5518 215.0815:6317 215.12599:290129
109;55.05497:12386 61.94865:1887 79.05486:24235 93.07028:36593 128.1436:3197 153.12759:32063 188.13075:2136
110;51.72379:8215 56.05019:51236 67.05493:7168 68.05022:29195 86.06058:771859 97.06523:5304 107.08575:4646 151.96988:4536 181.08598:7125 198.00125:11562 198.18547:4892840 216.19609:3202071
111;55.05502:2648 69.07063:2882 87.04459:20374 121.10128:7130 156.13852:4728 181.08612:2521 216.12943:11191
112;76.89053:1830 158.2697:1779
114;55.05502:19458 70.06582:21615 83.04715:2554 95.08559:3523 100.07604:65888 109.10133:5184 147.06538:2877 157.17828:3981 199.18903:786343 217.19969:512951
119;54.55454:146566 70.06578:23160314 84.08136:98893 88.07617:18819600 156.17484:418746 218.21153:285621056
120;57.07061:774083 68.05019:52573 88.07619:1785464 102.09166:416652 174.08444:26463 194.98241:17196 218.21162:24798796
121;57.07048:2997092 70.06563:11247299 84.08127:39702 88.076:9847211 102.09145:2449142 142.1604:36875 156.17465:212113 174.18507:291840 218.21103:71839456
122;53.99821:5340 68.05008:39700 74.06149:12916 156.17467:36897 174.1852:55721 216.56813:22013
125;57.07061:63364 62.06069:3827 86.06049:2636 187.58386:2737 220.21735:3023210
127;67.0551:2829 96.04481:125808 110.06024:131836 120.0809:5706 124.07591:32757 134.09656:4609 143.07306:7574 174.0787:2952 188.09464:5893 193.13394:29849 220.53021:2232
130;57.0707:15128 63.02376:13541 81.07053:8228 87.04456:858208 91.05463:13064865 95.04965:8632 110.06049:5867 123.06813:4803 136.07599:16033 164.07063:25604 171.01439:5152 178.12207:17771 187.0966:10825 222.14903:11375168
132;87.04156:4022 93.07034:26959 103.05453:16329 116.05314:3671 130.06158:1972 194.08482:4668 212.13203:18904 222.1855:754894
133;65.0392:2223 83.08598:22920 94.06548:7310 105.07004:7674 121.0281:3337 126.09147:36715 136.07588:27288 149.0235:28821 177.05478:9988 212.51749:17052
134;59.04989:17765 67.05497:3483 73.0291:44648 87.04456:9757 89.06024:184041 100.07607:16190 103.07561:12402 117.09119:135578 125.06026:2389 149.02362:69473 195.12306:16327 223.15428:51384
135;72.9378:4361 79.16122:1941 86.06052:3484 100.07613:3073 101.06004:17087 127.0357:8218 155.97504:6546 189.11259:5014 224.06346:7636
136;53.00287:2228 57.0706:34721 72.93784:4924 83.08609:12692 100.07607:2557 130.08653:12938 133.08611:143548 145.12253:80216 150.0269:32523 178.05817:16238 182.98572:7011 200.97272:29484
137;57.03426:30778 85.01113:2512 93.07014:2495 95.08595:4428 121.10159:3135 145.08615:5774 197.06525:3717 213.34131:7561 225.13351:11626
138;55.05497:10455 79.05489:2030 95.08599:2393
139;55.01849:2343 67.05498:17532 76.05369:1983 91.05478:13393 99.08082:3130 113.07108:50070 147.11681:3488 181.1703:4531 189.16383:9126 225.19649:276199
140;55.01859:12054 61.1188:1990 67.05495:32850 79.05487:36300 91.05463:13933 93.07035:34073 103.07559:4297 116.97209:27496 150.18259:2471 163.14839:66321 173.13286:21402 191.14322:4993 226.18047:657078
141;57.07066:83393 68.05021:10852 86.06059:210890 92.01691:4078 161.96994:14480 226.21681:2737088
143;67.05495:39115 79.05488:6604 93.07043:7258 105.07008:3277 125.09634:3263 137.09634:6624 163.96558:4983 217.83755:4148
147;55.05498:3707 79.05476:7564 91.05473:11653 153.07019:3290 155.08565:9982 169.0863:7894 193.12259:7296 211.1124:5851 215.50487:8054
148;57.07061:3976 74.09712:4864 85.06543:2678 91.05477:14929 101.06003:2463 109.06497:7732 137.09625:5499 153.07022:5722 169.08626:5877 193.12257:5797 228.83932:2315 229.14145:794711
149;55.80682:1736 79.05487:3376 105.03368:4151 169.12263:144337 229.14232:22235
150;67.05495:15334 81.0705:14888 91.0546:6427 148.08693:3907 184.16989:7756
